,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
61,1.14,,1.14,,1.14,,1.14,,1.14,,1.14,,1.14,,1.14,,1.14,,1.14,
62,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,
63,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,
64,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,
65,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,
66,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,,1.24,
67,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,,1.26,
68,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,,1.28,
69,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,,1.2999999999999998,
70,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,,1.3199999999999998,
71,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,,1.3399999999999999,
72,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,,1.3599999999999999,
73,1.38,,1.38,,1.38,,1.38,,1.38,,1.38,,1.38,,1.38,,1.38,,1.38,
74,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,
75,1.42,,1.42,,1.42,,1.42,,1.42,,1.42,,1.42,,1.42,,1.42,,1.42,
76,1.44,,1.44,,1.44,,1.44,,1.44,,1.44,,1.44,,1.44,,1.44,,1.44,
77,1.46,,1.46,,1.46,,1.46,,1.46,,1.46,,1.46,,1.46,,1.46,,1.46,
78,1.48,,1.48,,1.48,,1.48,,1.48,,1.48,,1.48,,1.48,,1.48,,1.48,
79,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,
80,1.52,,1.52,,1.52,,1.52,,1.52,,1.52,,1.52,,1.52,,1.52,,1.52,
81,1.54,,1.54,,1.54,,1.54,,1.54,,1.54,,1.54,,1.54,,1.54,,1.54,
82,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,,1.5599999999999998,
83,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,,1.5799999999999998,
84,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,,1.5999999999999999,
85,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,,1.6199999999999999,
86,1.64,,1.64,,1.64,,1.64,,,,1.64,,1.64,,1.64,,1.64,,1.64,
87,1.66,,1.66,,1.66,,1.66,,,,1.66,,1.66,,1.66,,1.66,,1.66,
88,1.68,,1.68,,1.68,,1.68,,,,1.68,,1.68,,1.68,,1.68,,1.68,
89,1.7,,1.7,,1.7,,1.7,,,,1.7,,1.7,,1.7,,1.7,,1.7,
90,1.72,,1.72,,1.72,,1.72,,,,,,1.72,,1.72,,1.72,,1.72,
91,1.74,,1.74,,1.74,,1.74,,,,,,1.74,,1.74,,1.74,,1.74,
92,1.76,,1.76,,1.76,,,,,,,,1.76,,1.76,,1.76,,1.76,
93,1.78,,1.78,,1.78,,,,,,,,1.78,,1.78,,1.78,,1.78,
