,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10,Time (s) Run #11,Position (m) Run #11
59,1.1199999999999999,0.4,1.1199999999999999,0.46,1.1199999999999999,0.41,1.1199999999999999,0.4,1.1199999999999999,0.48,1.1199999999999999,0.47,1.1199999999999999,0.42,1.1199999999999999,0.51,1.1199999999999999,0.47,1.1199999999999999,0.56,1.1199999999999999,0.33
60,1.14,0.38,1.14,0.44,1.14,0.4,1.14,0.38,1.14,0.46,1.14,0.44,1.14,0.41,1.14,0.5,1.14,0.46,1.14,0.55,1.14,0.31
61,1.16,0.36,1.16,0.42,1.16,0.38,1.16,0.36,1.16,0.44,1.16,0.43,1.16,0.39,1.16,0.48,1.16,0.44,1.16,0.53,1.16,0.29
62,1.18,0.35,1.18,0.41,1.18,0.36,1.18,0.34,1.18,0.43,1.18,0.41,1.18,0.38,1.18,0.47,1.18,0.42,1.18,0.52,1.18,0.28
63,1.2,0.33,1.2,0.39,1.2,0.35,1.2,0.32,1.2,0.41,1.2,0.41,1.2,0.36,1.2,0.45,1.2,0.41,1.2,0.5,1.2,0.26
64,1.22,0.31,1.22,0.37,1.22,0.33,1.22,0.3,1.22,0.39,1.22,0.39,1.22,0.35,1.22,0.44,1.22,0.39,1.22,0.48,1.22,0.24
65,1.24,0.29,1.24,0.35,1.24,0.31,1.24,0.28,1.24,0.37,1.24,0.37,1.24,0.33,1.24,0.42,1.24,0.38,1.24,0.47,1.24,0.22
66,1.26,0.27,1.26,0.33,1.26,0.29,1.26,0.27,1.26,0.36,1.26,0.35,1.26,0.31,1.26,0.41,1.26,0.36,1.26,0.45,1.26,0.21
67,1.28,0.25,1.28,0.32,1.28,0.28,1.28,0.25,1.28,0.34,1.28,0.33,1.28,0.3,1.28,0.39,1.28,0.34,1.28,0.44,1.28,0.19
68,1.3,0.23,1.3,0.3,1.3,0.26,1.3,0.23,1.3,0.32,1.3,0.32,1.3,0.28,1.3,0.38,1.3,0.33,1.3,0.42,1.3,0.17
69,1.3199999999999998,0.22,1.3199999999999998,0.28,1.3199999999999998,0.25,1.3199999999999998,0.21,1.3199999999999998,0.3,1.3199999999999998,0.3,1.3199999999999998,0.27,1.3199999999999998,0.36,1.3199999999999998,0.31,1.3199999999999998,0.41,1.3199999999999998,0.15
70,1.3399999999999999,0.2,1.3399999999999999,0.26,1.3399999999999999,0.23,1.3399999999999999,0.19,1.3399999999999999,0.29,1.3399999999999999,0.29,1.3399999999999999,0.25,1.3399999999999999,0.35,1.3399999999999999,0.29,1.3399999999999999,0.39,1.3399999999999999,0.14
71,1.3599999999999999,0.18,1.3599999999999999,0.24,1.3599999999999999,0.21,1.3599999999999999,0.17,1.3599999999999999,0.27,1.3599999999999999,0.27,1.3599999999999999,0.24,1.3599999999999999,0.33,1.3599999999999999,0.28,1.3599999999999999,0.37,1.3599999999999999,0.13
72,1.38,0.16,1.38,0.22,1.38,0.19,1.38,0.15,1.38,0.25,1.38,0.26,1.38,0.22,1.38,0.31,1.38,0.26,1.38,0.36,1.38,0.0
73,1.4,0.15,1.4,0.2,1.4,0.17,1.4,0.14,1.4,0.24,1.4,0.24,1.4,0.21,1.4,0.3,1.4,0.24,1.4,0.34,1.4,0.0
74,1.42,0.13,1.42,0.18,1.42,0.19,1.42,0.0,1.42,0.22,1.42,0.23,1.42,0.19,1.42,0.28,1.42,0.23,1.42,0.32,1.42,0.0
